t,r_t
450,4.30290554006845
451,4.320809229027812
452,4.259546692902676
453,4.310113736108025
454,4.34047547642246
455,4.338749745858826
456,4.3421421289818225
457,4.390695964282354
458,4.377823628190379
459,4.320507055289841
460,4.260353247022463
461,4.237226131080217
462,4.233469643934766
463,4.20121077963209
464,4.147602641872729
465,4.077083110136905
466,4.185949618710164
467,4.417117172202143
468,4.1186600769711275
469,4.096568969946526
470,3.871724031904815
471,3.8615754446310198
472,3.883377346537971
473,3.837917888151876
474,3.822425406000002
475,3.764171704438507
476,3.7568627394192573
477,3.773032544347595
478,3.7791625905379727
479,3.7444981814000036
480,3.760526608917651
481,3.826931839883426
482,3.8050198747764736
483,3.740049708394654
484,3.7720816529422474
485,3.769851937127273
486,3.869883519040646
487,3.902606195417113
488,3.8447370172759365
489,3.7126680984267413
490,3.8149059026160432
491,3.8051723639315567
492,3.7535805491732672
493,3.8273733841326223
494,3.7295786098844976
495,3.8348560388374358
496,3.6927675689957273
497,3.7733813641123013
498,3.8146992067379735
499,3.8340063382064207
500,3.843548756284492
501,3.74795167991765
502,3.8562709678673857
503,3.728515229590376
504,3.8480730753454573
505,3.765458134996793
506,3.7493575867786095
507,3.7798506349625676
508,3.7194515185369017
509,3.6643673297625687
510,3.686477876025675
511,3.723728413937968
512,3.7664493201914437
513,3.750141820117651
514,3.722840038719787
515,3.708029519208557
516,3.6923797387411783
517,3.714002527607488
518,3.7207181135860985
519,3.6769387120695223
520,3.7393627370866325
521,3.7898321323411803
522,3.7487643001582938
523,3.7746882547101626
524,3.7797278806042827
525,3.8058576265775406
526,3.797022829088771
527,3.686190112319792
528,3.7147846535743323
529,3.6416356471401112
530,3.546415086111233
531,3.7649160673614985
532,3.7709736508909106
533,3.716321844226736
534,3.658634396440643
535,3.6965333224139063
536,3.729648583853481
537,3.669450531466313
538,3.6185659263935843
539,3.834839555343315
540,3.651656667631016
541,3.8131963318898396
542,3.79711715443316
543,3.727034993713372
544,3.735776632094119
545,3.6680051063561527
546,3.758425451010697
547,3.7707039548791457
548,3.804002557564706
549,3.7321373790791457
550,3.769604330135832
551,3.7327611260256712
552,3.641861568088772
553,3.7453477367187173
554,3.683588792136899
555,3.7370909006695205
556,3.838282611362569
557,3.842942159790378
558,3.685085811963639
559,3.7141592845850284
560,3.7771068577807525
561,3.7645337115101656
562,3.761936134505885
563,3.780235989019256
564,3.8005352189090944
565,3.8097775838449213
566,3.8496532984524077
567,3.8521260998385065
568,3.752540590478079
569,3.732650609621393
570,3.788627714330485
571,3.737771600765778
572,3.7555233076459915
573,3.759113567124066
574,3.757356049857755
575,3.8289432840877007
576,3.826526285894121
577,3.780634773705886
578,3.79336626320428
579,3.770997198688769
580,3.7559455541133717
581,3.775816197528345
582,3.781638818354013
583,3.804363454758289
584,3.7461177047390413
585,3.720076379433156
586,3.7903065316032114
587,3.7673250403080227
588,3.7313951696074867
589,3.778768132915509
590,3.7860427847903786
591,3.586787361585032
592,3.749467251928344
593,3.757461669871658
594,3.630028485943317
595,3.5898556167069544
596,3.716236449847062
597,3.700106163033158
598,3.709413559411769
599,3.6635532422620334
600,3.6104104578802163
601,3.7130207908181823
602,3.7489172814438527
603,3.7471918339026766
604,3.703088940519789
605,3.6583686160566873
606,3.766348522260963
607,3.719468582196793
608,3.720117662170054
609,3.6954863201839596
610,3.68262040494546
611,3.852779018093052
612,3.9060387285336917
613,3.8481073622085575
614,3.8416709482246008
615,3.8392108202877004
616,3.839695916974333
617,3.815629081844922
618,3.801260856019254
619,3.730907228075935
620,3.749218994302677
621,3.7202574015401084
622,3.7618461961379666
623,3.8304085167272772
624,3.7878477458267414
625,3.8062069931390377
626,3.8313455509411805
627,3.814245273275935
628,3.8031158579283435
629,3.808533841118718
630,3.738492767366849
631,3.8132743522802155
632,3.768102982643852
633,3.749091171926204
634,3.7404466018770073
635,3.7375016684588243
636,3.777948446868451
637,3.8477214216855646
638,3.7739053729743333
639,3.810889067478076
640,3.845928491721928
641,3.8340532322491967
642,3.8946236547775426
643,3.903014397883426
644,3.9147696781497388
645,3.924328721050271
646,3.927753537524068
647,3.9259117543465276
648,3.979882417617114
649,3.913444701190379
650,3.897724698255616
651,3.9185001765037457
652,3.8907481313229955
653,3.941148581258828
654,4.049750049066313
655,3.9435671967026744
656,3.9435599423679184
657,3.9376800848320883
658,3.953701786344387
659,3.932836296057755
660,3.9999987826449233
661,4.007201346618182
662,4.016465766285567
663,3.8064882483144427
664,3.9099903057465273
665,3.89297576880749
666,3.912969821930485
667,3.938176946515513
668,4.022033396988237
669,3.87258399240749
670,3.975967236838505
671,3.9941182717454566
672,3.9724019340770083
673,3.937129768367919
674,3.9757610293657812
675,3.9713245110042816
676,3.9583802923614995
677,4.026649583111232
678,3.9365623576545468
679,3.941790195079149
680,3.9221017566877032
681,3.952271787287703
682,3.955564319208559
683,3.9786880521080232
684,3.9890240241165804
685,3.955869321789306
686,3.9861397902791462
687,4.003908227528344
688,3.9897821723754032
689,4.039984920442785
690,3.977045736737971
691,3.9293641794128384
692,3.93787306398717
693,3.971464392201074
694,4.008300686802138
695,3.906705980150806
696,3.9031977616598947
697,3.8852077605529445
698,3.8971576452331576
699,3.9726001479272757
700,3.924514941438505
701,3.884722866293049
702,3.8402847559572217
703,3.9184705487197897
704,3.826944597733692
705,3.8884931365048168
706,3.907950592211767
707,3.862319115398931
708,3.904865557699468
709,3.9248765044181866
710,3.868842800009629
711,3.911888349419254
712,3.980822019048132
713,3.9569832509764726
714,3.8930194012449237
715,3.8533412587604303
716,3.9651362167155093
717,3.923643379534762
718,3.743388775657758
719,3.844246712564706
720,3.8813463699294166
721,3.887633122425674
722,3.9056108673219274
723,3.8597878878759424
724,3.8477071792374353
725,3.8980080494010725
726,3.9178779682791487
727,3.8524140475636424
728,3.8349227390663154
729,3.8789288464641745
730,3.902429494695189
731,3.8808135264737973
732,3.926224033171126
733,3.813135399179683
734,3.8787699691336925
735,3.818505840965776
736,3.7561019158737974
737,3.8768015672171137
738,3.7651392525358336
739,3.86047322089626
740,3.8440052818663153
741,3.843846070191447
742,3.7994851771967926
743,3.8237738915615016
744,3.877657381370057
745,3.83255445182888
746,3.9364416751732607
747,3.9508585505732645
748,3.9016035692534796
749,3.8313419728160474
750,3.8450903192128383
751,3.922326200567915
752,3.9628569320256695
753,3.8943559001347614
754,3.94818422007166
755,3.9780052898459943
756,3.9757918385828934
757,3.965623897393586
758,3.895149320834226
759,3.9162715954246012
760,3.9321606849262034
761,3.8790932226877026
762,3.91169601698824
763,3.866360383123001
764,3.937085278740108
765,3.960869155394656
766,3.937181166366849
767,3.920805058741179
768,3.9603344667037463
769,3.967442357067382
770,3.9523330786470616
771,3.931966994958293
772,3.951397631352943
773,3.934949660653479
774,3.9584679846470605
775,3.9560331048802153
776,3.9482440227754063
777,3.9548990964224613
778,3.949628411364709
779,3.7757616941411793
780,3.9008324834524077
781,3.903356138879147
782,3.883746745833158
783,3.6530286164727293
784,3.6869861099486663
785,3.6865440879764737
786,3.6666552966737993
787,3.654165726044922
788,3.664918159535831
789,3.655430084282355
790,3.6589692071219275
791,3.673323727378613
792,3.6447528847721933
793,3.6494247449657777
794,3.6534283260470604
