3M,6M,1Y,2Y,5Y,10Y,15Y,20Y,30Y
0.24,0.25,0.24,0.22,0.41,1.38,1.7,2.06,2.39
0.22,0.23,0.23,0.16,0.38,1.32,1.57,1.91,2.25
0.25,0.26,0.25,0.22,0.41,1.41,1.97,2.11,2.44
0.26,0.26,0.27,0.18,0.34,1.55,2.22,2.43,2.78
0.23,0.23,0.24,0.18,0.43,1.43,1.69,2.04,2.37
0.26,0.28,0.28,0.22,0.86,2.49,2.99,3.15,3.26
0.25,0.26,0.27,0.31,0.42,1.48,2.2,2.35,2.77
0.25,0.26,0.27,0.29,0.4,1.42,2.15,2.3,2.72
0.24,0.26,0.27,0.26,0.36,1.31,1.91,2.08,2.39
0.24,0.28,0.28,0.26,1.13,2.74,3.2,3.5,3.61
0.24,0.26,0.26,0.2,0.49,1.39,2.01,2.23,2.64
0.29,0.29,0.28,0.28,0.44,1.52,2.07,2.24,2.55
0.26,0.27,0.28,0.27,0.47,1.6,2.26,2.46,2.84
0.25,0.26,0.26,0.18,0.51,1.45,2.02,2.24,2.62
0.29,0.3,0.29,0.31,0.41,1.38,1.94,2.1,2.42
0.24,0.25,0.26,0.16,0.49,1.41,1.99,2.18,2.58
0.25,0.27,0.27,0.3,0.34,1.42,2.05,2.23,2.59
0.26,0.26,0.27,0.27,0.45,1.56,2.26,2.44,2.83
0.29,0.3,0.3,0.32,0.42,1.47,2.03,2.2,2.51
0.25,0.26,0.27,0.24,0.57,1.56,2.22,2.44,2.8
0.26,0.27,0.27,0.19,0.36,1.56,2.22,2.44,2.8
0.26,0.28,0.28,0.22,0.9,2.41,2.93,3.09,3.21
0.29,0.3,0.29,0.26,0.41,1.45,2.01,2.18,2.5
0.25,0.27,0.27,0.28,0.41,1.3,1.91,2.09,2.43
0.26,0.28,0.28,0.22,0.86,2.49,2.99,3.15,3.26
0.29,0.3,0.28,0.26,0.43,1.48,2.04,2.22,2.53
0.29,0.31,0.29,0.31,0.41,1.41,1.99,2.16,2.47
0.23,0.26,0.26,0.27,0.35,1.29,1.9,2.06,2.41
0.26,0.26,0.25,0.17,0.37,1.33,1.6,1.94,2.31
0.24,0.27,0.27,0.28,0.4,1.31,1.93,2.09,2.43
0.24,0.26,0.26,0.19,0.49,1.45,1.99,2.18,2.6
0.26,0.29,0.28,0.21,0.86,2.47,2.96,3.12,3.24
0.26,0.26,0.26,0.24,0.42,1.43,1.99,2.15,2.47
0.25,0.26,0.27,0.29,0.43,1.48,2.21,2.35,2.76
0.26,0.28,0.28,0.22,0.95,2.54,3.04,3.21,3.32
0.25,0.26,0.26,0.3,0.36,1.45,2.09,2.26,2.61
0.24,0.26,0.27,0.28,0.39,1.3,1.9,2.06,2.41
0.24,0.26,0.26,0.15,0.36,1.51,2.15,2.36,2.74
0.26,0.27,0.27,0.29,0.46,1.54,2.25,2.41,2.81
0.26,0.27,0.27,0.29,0.46,1.54,2.26,2.41,2.8
0.23,0.26,0.26,0.29,0.32,1.32,1.93,2.1,2.43
0.26,0.28,0.28,0.23,0.96,2.45,3.01,3.17,3.29
0.24,0.26,0.27,0.26,0.36,1.31,1.91,2.08,2.39
0.29,0.3,0.3,0.32,0.42,1.47,2.03,2.2,2.51
0.25,0.26,0.26,0.22,0.85,1.83,2.42,2.58,2.91
0.17,0.29,0.26,0.29,0.33,1.33,1.93,2.09,2.43
0.25,0.29,0.29,0.24,1.02,2.6,3.11,3.23,3.35
0.25,0.27,0.27,0.29,0.33,1.4,2.04,2.21,2.58
0.25,0.27,0.26,0.28,0.33,1.4,2.04,2.21,2.59
0.29,0.3,0.3,0.32,0.42,1.47,2.03,2.2,2.51
0.25,0.26,0.26,0.29,0.33,1.34,1.96,2.12,2.46
0.26,0.26,0.26,0.17,0.38,1.44,1.72,2.07,2.45
0.25,0.27,0.26,0.39,1.3,2.43,2.93,3.03,3.19
0.24,0.28,0.28,0.26,1.1,2.65,3.13,3.47,3.59
0.23,0.26,0.27,0.27,0.4,1.36,1.95,2.11,2.44
0.25,0.27,0.27,0.3,0.34,1.4,2.03,2.21,2.57
0.23,0.26,0.26,0.28,0.32,1.33,1.94,2.1,2.44
0.26,0.26,0.26,0.26,0.44,1.52,2.07,2.23,2.55
0.24,0.26,0.27,0.25,0.36,1.32,1.92,2.08,2.39
0.25,0.27,0.26,0.29,1.02,2.11,2.66,2.79,2.99
0.26,0.28,0.28,0.22,0.85,2.34,2.86,3.01,3.15
0.24,0.25,0.26,0.16,0.49,1.41,1.98,2.18,2.58
0.24,0.26,0.26,0.16,0.48,1.38,1.94,2.14,2.56
0.24,0.27,0.28,0.28,0.39,1.33,1.93,2.09,2.38
0.25,0.29,0.29,0.24,1.03,2.63,3.14,3.28,3.4
0.26,0.29,0.28,0.2,1.08,2.47,2.88,3.01,3.07
0.22,0.26,0.27,0.26,0.39,1.32,1.92,2.09,2.39
0.26,0.26,0.28,0.27,0.47,1.59,2.24,2.44,2.81
0.25,0.26,0.27,0.29,0.43,1.48,2.21,2.35,2.76
0.24,0.27,0.27,0.25,0.37,1.32,1.91,2.08,2.38
0.24,0.25,0.26,0.2,0.51,1.46,2.05,2.28,2.66
0.25,0.28,0.28,0.25,1.09,2.76,3.22,3.43,3.5
0.24,0.28,0.26,0.33,0.8,1.71,2.33,2.54,2.92
0.24,0.27,0.28,0.28,0.39,1.33,1.93,2.09,2.38
