t,1M,6M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
31,5.7867785,6.4664335,6.61543,6.4950294,6.367115,6.2477984,6.094126,5.9199343,5.806391,5.7001295,5.5383635,5.4223876,5.299438,5.1481466,5.020038,4.8651843,4.72253,4.574788,4.429991,4.2997093,4.1691775,4.0263505,3.9210372,3.817226,3.6901467,3.5931487,3.5126793,3.4390311,3.38554,3.3282228,3.2662935,3.2557368,3.2126808,3.2225919,3.225182,3.2221718,3.2331634,3.2383184,3.2737887,3.2991633,3.3290434,3.3866653,3.4236906,3.4832234,3.4962091,3.5565457,3.6278746,3.6624792,3.7060647,3.7696605,3.8337147
32,5.720129,6.5982103,6.840109,6.665038,6.528966,6.3902087,6.2325363,6.0319147,5.938354,5.8314276,5.639678,5.505249,5.3846073,5.200885,5.079927,4.927184,4.7694287,4.6045885,4.4644747,4.3362474,4.1631474,4.021406,3.8917618,3.793397,3.6443996,3.544872,3.4802117,3.374875,3.3555717,3.3213477,3.225778,3.268932,3.1968536,3.2024066,3.2030005,3.2456465,3.23911,3.2703016,3.298487,3.346084,3.3953583,3.4595995,3.5152626,3.5209258,3.547879,3.6464095,3.7210464,3.770984,3.8347025,3.889089,3.974875
33,5.7946343,6.5878644,6.7923036,6.62862,6.489898,6.367129,6.1918287,6.0067177,5.89179,5.7827454,5.595036,5.4742794,5.3502283,5.1751,5.047339,4.8834815,4.7324224,4.568669,4.4197364,4.284236,4.1297827,3.9830441,3.8637574,3.7573385,3.6254692,3.5150237,3.4362535,3.3569837,3.314078,3.2681792,3.1934187,3.2049499,3.1603825,3.1745052,3.17695,3.1824932,3.1973348,3.2093444,3.2519894,3.28201,3.3342621,3.3921728,3.4404504,3.4851873,3.4995174,3.5874012,3.6721501,3.7121174,3.7607684,3.8243196,3.913102
34,5.9758396,6.6422915,6.7740164,6.619138,6.475621,6.331346,6.1732235,5.967781,5.8276753,5.7098436,5.5454955,5.4142594,5.2793283,5.123516,4.9759417,4.8121233,4.651138,4.490739,4.340709,4.193371,4.0501413,3.8971689,3.797026,3.679876,3.53943,3.4506245,3.3573558,3.2857757,3.2293105,3.1633103,3.1069357,3.0788186,3.0305228,3.0642755,3.0730655,3.0664477,3.0959468,3.1029978,3.136181,3.1828742,3.1996164,3.276343,3.3239949,3.4128823,3.4242084,3.4922292,3.5667539,3.6102393,3.6599884,3.7386312,3.8027036
35,6.066315,6.6125565,6.6908712,6.55259,6.39673,6.24315,6.0822544,5.884425,5.742358,5.614636,5.454739,5.3175983,5.1820383,5.026486,4.876819,4.714564,4.557442,4.400854,4.2515163,4.108803,3.9726012,3.8239686,3.7230554,3.6044455,3.4776773,3.3902156,3.3056145,3.2414632,3.1750526,3.1080391,3.058679,3.023067,2.989193,3.0063038,3.017203,3.0078185,3.0388923,3.0464816,3.0818481,3.1209798,3.1330738,3.2057009,3.2500932,3.3301988,3.3478642,3.4102225,3.471626,3.519617,3.572746,3.642223,3.6996093
36,6.1046715,6.5155487,6.561257,6.4319406,6.274914,6.113345,5.956103,5.77356,5.6305566,5.4975524,5.3457303,5.2073903,5.074095,4.923658,4.7767515,4.622334,4.474029,4.328605,4.1871343,4.0568275,3.931149,3.7960489,3.6997323,3.5869167,3.479197,3.398325,3.321282,3.2670836,3.1974368,3.1368215,3.091817,3.0536144,3.0311403,3.0349894,3.043903,3.0335207,3.059424,3.0688212,3.101419,3.1326756,3.1423583,3.2049851,3.2423825,3.3081014,3.3290944,3.383814,3.4284167,3.4745445,3.5293303,3.5849645,3.6309972
37,6.056611,6.4802465,6.524619,6.410023,6.2581267,6.1042566,5.9513555,5.7734814,5.636757,5.507754,5.3597374,5.2254953,5.0942764,4.9481916,4.8044314,4.6516275,4.506505,4.3639865,4.2222257,4.0932407,3.9723978,3.8364935,3.7404695,3.629248,3.5203547,3.438742,3.3624728,3.3062625,3.2355409,3.1724622,3.1279385,3.0893908,3.0656133,3.0663424,3.0746987,3.0637243,3.086378,3.093587,3.1260319,3.1538143,3.1619859,3.2233121,3.2580562,3.3240845,3.3446734,3.3940103,3.439253,3.4833255,3.5355914,3.5915477,3.6353621
38,6.126648,6.43207,6.4622445,6.3326063,6.1773925,6.0084767,5.855046,5.684797,5.5397224,5.4035254,5.257805,5.11917,4.987931,4.8417773,4.697667,4.550648,4.409499,4.2738886,4.1406703,4.021585,3.9033775,3.7813997,3.6902738,3.5837264,3.4917521,3.4177318,3.345396,3.299741,3.2304635,3.1776595,3.1347213,3.096405,3.0812669,3.0778294,3.0840273,3.0736954,3.0944152,3.1061282,3.1349769,3.1615262,3.1705823,3.2243967,3.2561908,3.309742,3.332109,3.38207,3.4132042,3.4562755,3.512299,3.5563827,3.5931756
39,6.1475987,6.4334025,6.4601455,6.3266363,6.1694756,5.9970474,5.84252,5.672386,5.525086,5.386904,5.2407937,5.100607,4.968905,4.8218307,4.6769404,4.5302234,4.3889723,4.2535996,4.1213202,4.003146,3.8844843,3.76425,3.6735063,3.5670276,3.477581,3.404519,3.3327959,3.288934,3.2195964,3.1682947,3.1257114,3.0871801,3.0738063,3.0698767,3.0760672,3.0658073,3.0870826,3.099729,3.1283529,3.1551733,3.1644478,3.2176032,3.2495215,3.301367,3.3242736,3.3751912,3.404222,3.447822,3.5048964,3.547327,3.5836093
40,6.1483736,6.4619823,6.5067916,6.358471,6.2023754,6.0279093,5.87185,5.696694,5.54597,5.408486,5.2588406,5.1180563,4.985329,4.835709,4.6896276,4.5417056,4.397441,4.259411,4.127444,4.007334,3.8836362,3.7629936,3.6726253,3.5658946,3.4731991,3.4005237,3.325532,3.280802,3.2154918,3.1663537,3.1212363,3.0853348,3.0681787,3.0715957,3.0773158,3.0683324,3.0909128,3.1048303,3.1326048,3.1640127,3.1756613,3.230693,3.2651227,3.3193638,3.3404183,3.39634,3.4287968,3.472022,3.529579,3.5744603,3.6139026
