t,z1,z2,z3
361,-1.537039,1.4329647,2.42228
362,-1.8794955,1.6428548,2.8469822
363,-1.6817218,1.5343528,2.7358892
364,-1.8635365,1.7671354,2.8537893
365,-1.8384752,1.7883257,2.91388
366,-1.4786992,1.6155449,2.7898579
367,-1.3019255,1.4934322,2.4982002
368,-1.2264402,1.392177,2.2789164
369,-1.0662922,1.2896034,1.9756429
370,-1.0072225,1.2383692,1.8564914
371,-1.1197088,1.2321038,1.6693195
372,-0.76138973,1.0480471,1.4516819
373,-0.6794914,0.99010295,1.3824164
374,-0.9525287,1.0803133,1.5275947
375,-1.0489165,1.151984,1.6139356
376,-1.4621769,1.4557214,1.9712586
377,-1.5116974,1.4355602,1.7268157
378,-1.8467803,1.5941885,2.0284894
379,-1.989518,1.531819,1.909363
380,-1.7515138,1.4045178,1.683786
381,-1.6724437,1.330423,1.5009828
382,-0.9722726,0.9635373,1.0951103
383,-1.3020751,1.117301,1.2937055
384,-1.1818843,1.0343405,1.1699364
385,-0.70495325,0.7688286,0.8642311
386,-0.80802286,0.8363277,0.906006
387,-1.0357635,0.9437153,1.0363021
388,-0.9302922,0.96908927,1.119172
389,-0.7892257,0.91139805,0.964194
390,-0.58630633,0.8585785,0.9428294
391,-0.6165301,0.9147257,1.0441803
392,-0.36146766,0.8429126,0.9388562
393,-0.40382975,0.79382825,0.9317233
394,-0.54574925,0.85502326,1.1245358
395,-0.5999402,0.8563593,1.1169484
396,-0.61129254,0.8096545,0.88173324
397,-0.52039534,0.7261767,0.882805
398,-0.37100098,0.5814502,0.628035
399,-0.23202863,0.4727156,0.515683
400,-0.34776524,0.50906324,0.51327014
401,-0.9505001,0.73377293,0.8237931
402,-0.895252,0.6250982,0.7281468
403,-0.70197845,0.57235926,0.68180454
404,-0.49877256,0.4163001,0.46428543
405,0.103282236,-0.1625801,0.08897936
406,0.5033846,-0.58318573,0.17128956
407,0.47209665,-0.3918782,0.26700547
408,0.52103156,-0.6138357,0.23841876
409,0.2825955,-0.16495296,0.113473654
410,0.48037338,-0.19582003,0.18477786
411,0.8903007,-0.8357125,0.25235575
412,1.1352304,-1.3117296,0.33419704
413,0.9847587,-1.0043721,0.31849384
414,0.92725635,-0.8551826,0.3134186
415,0.91088104,-0.915497,0.2576309
416,0.94666827,-1.0603318,0.22406355
417,0.8749773,-1.1160818,0.09785169
418,1.1659539,-1.3936222,0.30155456
419,1.1280978,-1.3148279,0.30415013
420,1.0404773,-1.2844946,0.3519194
421,0.5836834,-1.0050356,0.0752653
422,0.2814237,-0.8633973,0.02828047
423,-0.5919195,-0.19187063,-0.059041515
424,-0.93326104,0.11976389,0.2640498
425,-0.82875043,-0.09913216,0.14234197
426,-0.38888866,-0.562191,-0.104457766
427,-0.4948519,-0.41230556,-0.0136142485
428,-0.49057734,-0.29066807,0.20082875
429,-1.0353746,0.041087314,1.0223707
430,-1.2428826,0.47403514,1.4037677
431,-1.0892552,0.5522055,1.863613
432,-1.2962627,0.65795213,2.0035849
433,-1.4483852,0.9157229,2.4145303
434,-1.6911447,1.0270052,2.6128871
435,-1.7178731,1.0332692,2.5728536
436,-1.7280904,0.8884397,2.389152
437,-1.9235986,0.9706633,2.425409
438,-1.9828068,1.0764084,2.6564631
439,-1.4462752,0.7428334,2.089863
440,-1.2420565,0.60396373,1.8290584
441,-1.2187259,0.57019746,1.6174586
442,-1.2853222,0.6783886,1.7835195
443,-1.4293988,0.84859544,2.4752333
444,-1.1456354,0.6629451,2.3574178
445,-1.231809,0.71999913,2.565434
446,-1.1543314,0.7000273,2.4993625
447,-0.5732031,0.2612113,1.7606509
448,-0.80037487,0.59439284,1.9321661
449,-0.6829481,0.58597755,1.7514246
450,-0.72223145,0.5240893,1.4103143
451,-0.66382384,0.47517568,1.3700804
452,-0.24999392,-0.0017371178,0.90631706
453,-0.20968755,-0.13190746,0.7891384
454,-0.40656826,-0.11317297,0.8111473
455,-0.37952113,-0.021384142,0.91964185
456,-0.44406563,0.037921216,1.0619298
