t,a3,a2,a1,a0
350,6.982427520183185e-05,-0.0034484341739691934,-0.0014116712720810133,5.134367708504787
351,0.00014588696642201936,-0.006781749558245215,0.041156678742846564,5.0578765560779395
352,0.00010133073150161833,-0.004878695247099958,0.018098886040998487,5.1401595338206745
353,7.697463277651622e-05,-0.004038429227950561,0.014027387517072923,5.194232329421149
354,-1.099831592101471e-05,-0.0007777288735720112,-0.010112689437040056,5.208998469265883
355,-2.801041626276792e-05,-0.0001923506118864347,-0.012926818411779369,5.208252608438411
356,1.1931868473000465e-05,-0.0018531660847421842,0.005364253156338863,5.177325074118778
357,-7.723852420414818e-05,0.0015877902290931199,-0.023816006212587656,5.156884419360624
358,-7.425438064952637e-05,0.0012733712095054565,-0.01458944042101943,5.12553554802763
359,-0.00015727133835432444,0.004651712052073962,-0.04941554616457105,5.166823977443058
360,-0.00013683166424432078,0.00402593448550444,-0.04924197425362549,5.179967168202067
361,-7.07798150808894e-05,0.0011330495771605623,-0.013049632285098851,5.114283583758249
362,-4.663536718585258e-05,-0.00015869794895636584,0.009795154985402312,5.059112334952224
363,-8.418140189330307e-05,0.0014692950070834673,-0.010013525606220382,5.087342517602782
364,-0.00014156022289998302,0.003959862150093661,-0.041782459577726666,5.237145344208245
365,-0.00019159035005395284,0.006058420597295469,-0.06586645242937623,5.310678288598134
366,-0.00025008388851796174,0.008566697846285741,-0.09538448098192201,5.336148648703197
367,-0.0002335944588146684,0.0080716481899738,-0.09553912453754665,5.3398612472827605
368,-0.00019229397516294747,0.00646761809861021,-0.08110952384273658,5.310342403707536
369,-0.00018747939087983254,0.006520080920223451,-0.08949381403962542,5.357071339210978
370,-0.00018615265099658905,0.006584301555973823,-0.09394457606194048,5.38407068182625
371,-0.00012010158044335754,0.003990746044662747,-0.07001668783829827,5.358399065833954
372,-0.0001434044496476716,0.004981979228040327,-0.08095089430124525,5.327511368322905
373,-0.00012971304835067703,0.00442749131335957,-0.0750227000666194,5.298869763508211
374,-0.00010183369123816755,0.003211278827999013,-0.06022841335323756,5.2935138109234785
375,-0.00010751729427211413,0.003438940666981188,-0.06272257966596907,5.315668446794553
376,-0.00010307220182706349,0.00311107999050551,-0.055479863183703064,5.343934929399461
377,-5.883021899509947e-05,0.0015211063520139325,-0.04548154942370518,5.369995040218251
378,-2.101838261837368e-05,-0.0002798423606359822,-0.018900179171765247,5.308791861711829
379,5.459637623732805e-05,-0.003363214648910031,0.013268950424263085,5.256505596458222
380,3.517250270913483e-05,-0.0024242133204746656,-0.000780542176930578,5.274370168708374
381,4.1333115690703374e-05,-0.002560642990621731,-0.002804423400796857,5.283901315418946
382,-9.865239287284597e-06,-0.0002660875130452047,-0.03222367281619721,5.2773168186371535
383,2.355539606658854e-05,-0.0017402237941048246,-0.013754668332134234,5.26578838959646
384,2.2446293740935728e-05,-0.0016426555094592842,-0.01625678065204194,5.2598051128139724
385,-2.450921823638405e-05,0.0004693289191704388,-0.04385054528054534,5.2772054193222075
386,-3.209660390176272e-06,-0.00046525709312794243,-0.032166213616482864,5.2569075050529745
387,2.9475621400590853e-05,-0.0018953733227892778,-0.014411112623853995,5.2335660019044985
388,-2.6294915051843037e-05,0.0004254296897367731,-0.04005256916992639,5.291007561773227
389,-3.955350077539283e-05,0.0010913295221240548,-0.05105639326635368,5.3270868724844265
390,-7.737355793080776e-05,0.0026482979358658735,-0.06738935600398803,5.339075922398314
391,-0.0001237017266610439,0.0045173941298127275,-0.08648495012136755,5.383980820645567
392,-0.00018309583144033033,0.0070815281099173896,-0.11624309024785763,5.411035231397079
393,-0.0001745054586473884,0.006698490842990728,-0.11192464545103767,5.414935948635559
394,-0.0001583166670027255,0.005897087831367115,-0.09973249390115013,5.3903819231557835
395,-0.00012204562678186999,0.004336315680814438,-0.08107618557902281,5.346143926914355
396,-2.499326609536946e-05,0.00041851820498165767,-0.04085748186359159,5.246851251087504
397,-3.939200183945897e-05,0.0008944201356548259,-0.04209398487086374,5.209152141442832
398,-2.275255199556556e-05,0.00033539514333451325,-0.04018056809244936,5.192888579262295
399,-1.2072714685125795e-05,-8.270639278780376e-06,-0.039111943102377866,5.1986975498390935
