3 Mo,6 Mo,1 Yr,3 Yr,5 Yr,10 Yr,20 Yr,30 Yr
4.0887184,4.305742,4.4892383,5.139808,5.2289658,5.350133,5.7753806,5.6363688
0.2971818,0.3697661,0.3791281,0.7569922,0.95455134,1.158871,1.6233132,1.785491
3.4183407,3.547914,3.6761,4.3038974,4.406526,4.5779314,5.037908,4.9011993
0.16688846,0.26361656,0.24651356,0.65662754,0.8421438,1.0509906,1.50743,1.6961459
4.694621,4.991337,5.223601,5.8879204,5.9667697,6.0448503,6.4335146,6.295516
4.43688,4.702527,4.9101343,5.5819297,5.6655226,5.769458,6.1756067,6.034563
0.23899834,0.3192653,0.31408316,0.71300006,0.9034083,1.1097791,1.5718802,1.7528358
0.3380939,0.40317133,0.4173403,0.78198206,0.9835366,1.1978033,1.6661986,1.8237201
3.366569,3.48976,3.6153333,4.2420444,4.3464146,4.5194745,4.983149,4.8455143
5.1081133,5.4584317,5.7173367,6.397223,6.464602,6.5225596,6.886792,6.750086
4.5600595,4.83837,5.058095,5.7200017,5.799227,5.8887806,6.2859516,6.148237
4.151232,4.375904,4.5646477,5.211937,5.299523,5.4155874,5.8355217,5.698245
0.1536602,0.25036746,0.23196656,0.6472893,0.83137953,1.0362151,1.4948025,1.6900232
3.0121138,3.0889635,3.1823394,3.805594,3.9114292,4.110838,4.5993032,4.4613504
0.07773565,0.18311286,0.15566349,0.5707296,0.76073515,0.9464729,1.4032179,1.5876225
